pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_dens,st_age,sy_dist
"HD 28109 d","HD 28109",1,3,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",84.25909262,3.002,,,,139.6110000
"TOI-2084 b","TOI-2084",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",6.07840310,2.074,,,,114.5490000
"HD 219666 b","HD 219666",1,1,0,0,"Transit",2018,"Transiting Exoplanet Survey Satellite (TESS)",6.03607000,4.710,16.60000,0.87000,10.000,94.1719000
"HD 28109 c","HD 28109",1,3,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",56.00450565,4.607,,,,139.6110000
"TOI-2977 b","TOI-2977",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.35056140,13.159,533.95172,1.28000,9.800,
"TOI-5126 c","TOI-5126",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",17.89990000,3.860,,,0.800,160.4140000
"TOI-470 b","TOI-470",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",12.19145583,4.613,,,,130.4600000
"K2-371 b","K2-371",1,1,0,0,"Transit",2022,"K2",3.11490850,12.030,,,,442.8130000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41193852,,,,,175.6310000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41193790,,,,,175.6310000
"WASP-94 A b","WASP-94 A",2,2,0,0,"Transit",2014,"SuperWASP",3.95020049,,,,,211.2110000
"TOI-198 b","TOI-198",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",10.21520000,1.440,,,5.300,23.7262000
"TOI-4791 b","TOI-4791",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.28097670,13.011,,,,328.8020000
"TOI-2000 b","TOI-2000",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.09833000,2.700,11.00000,3.07000,5.300,175.7130000
"TOI-858 B b","TOI-858 B",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.27972818,13.812,,,,250.4890000
"TOI-913 b","TOI-913",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",11.09935960,2.613,,,,65.1769000
"TOI-5704 b","TOI-5704",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.77111600,3.227,,,,89.6370000
"TOI-3023 b","TOI-3023",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.90149710,16.432,197.05361,0.24500,7.000,389.9160000
"HD 23472 d","HD 23472",1,5,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",3.97664000,0.750,0.55000,7.50000,,39.0341000
"TOI-2796 b","TOI-2796",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.80849800,15.084,,,,350.3430000
"WASP-94 B b","WASP-94 B",2,2,0,0,"Radial Velocity",2014,"SuperWASP",2.00839000,,,,4.000,208.6960000
"TOI-2194 b","TOI-2194",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",15.33759700,1.989,,,,19.5711000
"TOI-1736 c","TOI-1736",1,2,0,0,"Radial Velocity",2023,"Haute-Provence Observatory",570.10000000,,2800.00000,,4.900,88.9482000
"HD 28109 c","HD 28109",1,3,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",56.00819000,4.230,7.94300,,1.100,139.6110000
"TOI-672 b","TOI-672",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.63357500,5.260,,,,66.9071000
"TOI-1416 b","TOI-1416",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",1.06975680,1.620,3.48000,4.50000,6.900,55.0135000
"TOI-1801 b","TOI-1801",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",10.64393850,1.989,,,,30.6796000
"TOI-1221 b","TOI-1221",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",91.68143360,3.117,,,,138.4110000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41195000,14.796,165.27160,,,175.6310000
"TOI-199 b","TOI-199",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",104.85400000,9.079,54.03083,,0.800,102.2700000
"HD 207496 b","HD 207496",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",6.44100600,2.564,,,,23.6060000
"TOI-2000 c","TOI-2000",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.12705500,8.140,81.70000,0.82900,5.300,175.7130000
"TOI-199 c","TOI-199",1,2,0,0,"Transit Timing Variations",2023,"Multiple Observatories",273.69000000,,88.99195,,0.800,102.2700000
"HD 235088 b","HD 235088",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",7.43413930,2.045,,,0.700,41.1706000
"TOI-2096 c","TOI-2096",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",6.38784000,1.914,,,4.000,48.4809000
"HD 23472 c","HD 23472",1,5,0,0,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",29.79752050,1.610,,,,39.0341000
"TOI-2498 b","TOI-2498",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.73788158,4.789,,,,275.2650000
"TOI-3235 b","TOI-3235",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.59261990,11.014,,,,72.8110000
"HD 56414 b","HD 56414",1,1,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",29.04975170,2.847,,,,272.2170000
"Kepler-33 d","Kepler-33",1,5,0,0,"Transit",2011,"Kepler",21.77575400,5.500,,,4.240,1209.1600000
"HIP 5158 b","HIP 5158",1,2,0,0,"Radial Velocity",2009,"La Silla Observatory",345.72000000,,,,6.000,51.6026000
"HD 6718 b","HD 6718",1,1,0,0,"Radial Velocity",2009,"La Silla Observatory",2496.00000000,,,,,51.3444000
"HD 156846 b","HD 156846",2,1,0,0,"Radial Velocity",2007,"La Silla Observatory",359.55460000,,,,,47.7332000
"HD 132563 b","HD 132563",3,1,0,0,"Radial Velocity",2011,"Roque de los Muchachos Observatory",1544.00000000,,,,,105.1550000
"HD 137388 b","HD 137388",1,1,0,0,"Radial Velocity",2011,"La Silla Observatory",330.00000000,,,,6.450,40.4841000
"HD 85512 b","HD 85512",1,1,0,0,"Radial Velocity",2011,"La Silla Observatory",58.43000000,,,,5.610,11.2810000
"HD 23127 b","HD 23127",1,1,0,0,"Radial Velocity",2006,"Anglo-Australian Telescope",1214.00000000,,,,7.100,93.8555000
"HD 100655 b","HD 100655",2,1,0,0,"Radial Velocity",2011,"Bohyunsan Optical Astronomical Observatory",157.57000000,,,,,137.1780000
"Kepler-24 c","Kepler-24",1,4,0,0,"Transit",2011,"Kepler",12.33350000,2.800,508.50000,,7.700,1156.8100000
"GJ 667 C b","GJ 667 C",3,5,0,0,"Radial Velocity",2012,"La Silla Observatory",7.19990000,,,,,7.2439600
"GJ 667 C b","GJ 667 C",3,5,0,0,"Radial Velocity",2012,"La Silla Observatory",7.20066000,,,,,7.2439600
"HD 155358 b","HD 155358",1,2,0,0,"Radial Velocity",2007,"McDonald Observatory",194.30000000,,,,10.700,43.6197000
"HD 79498 b","HD 79498",2,1,0,0,"Radial Velocity",2011,"McDonald Observatory",1966.10000000,,,,2.700,48.9489000
"GJ 667 C b","GJ 667 C",3,5,0,0,"Radial Velocity",2012,"La Silla Observatory",7.20040000,,,,2.000,7.2439600
"GJ 667 C b","GJ 667 C",3,5,0,0,"Radial Velocity",2012,"La Silla Observatory",7.20000000,,,,,7.2439600
"GJ 667 C b","GJ 667 C",3,5,0,0,"Radial Velocity",2012,"La Silla Observatory",7.20300000,,,,,7.2439600
"GJ 667 C c","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",28.10000000,,,,,7.2439600
"GJ 667 C c","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",28.15500000,,,,,7.2439600
"GJ 667 C c","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",28.14000000,,,,2.000,7.2439600
"GJ 667 C c","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",28.14300000,,,,,7.2439600
"GJ 667 C e","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",62.24000000,,,,2.000,7.2439600
"GJ 667 C f","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",39.02600000,,,,2.000,7.2439600
"GJ 667 C g","GJ 667 C",3,5,0,0,"Radial Velocity",2013,"La Silla Observatory",256.20000000,,,,2.000,7.2439600
"CHXR 73 b","CHXR 73",1,1,0,0,"Imaging",2006,"Hubble Space Telescope",,,3994.48600,,0.002,190.3740000
"HD 13189 b","HD 13189",1,1,0,0,"Radial Velocity",2005,"Thueringer Landessternwarte Tautenburg",471.60000000,,,,,497.8230000
