pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_dens,st_age,sy_dist
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555754,10.240,,,,1093.0800000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85557454,14.895,,,,1093.0800000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555756,10.050,,,,1093.0800000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555754,10.500,,,4.370,1093.0800000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555880,9.550,156.69019,0.99750,6.200,1093.0800000
"KOI-217 b","KOI-217",1,1,0,0,"Transit",2010,"Kepler",3.90508100,11.700,,,0.400,914.6990000
"Kepler-422 b","Kepler-422",1,1,0,0,"Transit",2014,"Kepler",7.89144830,12.890,136.66000,0.38000,,722.7950000
"Kepler-422 b","Kepler-422",1,1,0,0,"Transit",2014,"Kepler",,12.987,,,,722.7950000
"Kepler-423 b","Kepler-423",1,1,0,0,"Transit",2014,"Kepler",2.68432847,,,,,758.7530000
"Kepler-423 b","Kepler-423",1,1,0,0,"Transit",2014,"Kepler",2.68432854,12.730,,,,758.7530000
"Kepler-43 b","Kepler-43",1,1,0,0,"Transit",2011,"Kepler",3.02409255,12.100,,,,1005.8400000
"Kepler-43 b","Kepler-43",1,1,0,0,"Transit",2011,"Kepler",3.02409309,13.000,994.77000,2.49000,2.300,1005.8400000
"Kepler-43 b","Kepler-43",1,1,0,0,"Transit",2011,"Kepler",3.02409490,13.664,1026.59090,5.00000,,1005.8400000
"Kepler-43 b","Kepler-43",1,1,0,0,"Transit",2011,"Kepler",3.02409255,11.670,,,3.980,1005.8400000
"Kepler-385 c","Kepler-385",1,3,0,0,"Transit",2014,"Kepler",15.16200000,3.100,13.20000,,,1432.6100000
"Kepler-281 b","Kepler-281",1,3,0,0,"Transit",2014,"Kepler",,3.245,,,,1745.4500000
"Kepler-1663 b","Kepler-1663",1,1,0,0,"Transit",2020,"Kepler",17.60461401,,,,,337.9260000
"Kepler-1001 c","Kepler-1001",1,2,0,0,"Transit",2020,"Kepler",9.18186000,1.578,,,,928.9780000
"Kepler-1709 b","Kepler-1709",1,1,0,0,"Transit",2021,"Kepler",65.70462000,3.320,,,2.200,273.9460000
"Kepler-1931 b","Kepler-1931",1,1,0,0,"Transit",2021,"Kepler",38.57529650,1.960,,,,620.0910000
"Kepler-1906 b","Kepler-1906",1,1,0,0,"Transit",2021,"Kepler",7.36272058,1.870,,,,1360.6300000
"Kepler-1312 b","Kepler-1312",1,2,0,0,"Transit",2016,"Kepler",5.44832470,2.160,,,0.400,299.1040000
"Kepler-1769 b","Kepler-1769",1,1,0,0,"Transit",2021,"Kepler",89.19349670,4.465,,,,438.4120000
"K2-43 c","K2-43",1,2,0,0,"Transit",2019,"K2",2.19945000,2.600,,,,182.5360000
"K2-237 b","K2-237",1,1,0,0,"Transit",2018,"K2",2.18053300,,,,2.550,314.9950000
"TOI-4479 b","TOI-4479",1,1,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",1.15890129,2.683,,,,80.6532000
"TOI-3688 A b","TOI-3688 A",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.24620801,13.300,,,,396.3780000
"Kepler-1815 b","Kepler-1815",1,1,0,0,"Transit",2021,"Kepler",12.19140405,2.460,,,,1006.6300000
"Kepler-633 c","Kepler-633",1,2,0,0,"Transit",2021,"Kepler",23.78324700,2.450,,,,680.5400000
"Kepler-1693 c","Kepler-1693",1,2,0,0,"Transit",2021,"Kepler",5.36375016,,,,,760.0650000
"TOI-157 b","TOI-157",1,1,0,0,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",2.08454350,14.415,375.03940,0.68600,12.820,355.6830000
"Kepler-1656 b","Kepler-1656",1,2,0,0,"Transit",2018,"Kepler",31.57865934,4.470,,,,185.8750000
"Kepler-412 b","Kepler-412",1,1,0,0,"Transit",2014,"Kepler",1.72086040,15.031,299.07803,0.52000,,1086.2400000
"Kepler-762 b","Kepler-762",1,1,0,0,"Transit",2016,"Kepler",3.77055210,13.010,,,,1898.2600000
"Kepler-17 b","Kepler-17",1,1,0,0,"Transit",2011,"Kepler",1.48571095,14.800,,,,720.7530000
"Kepler-488 b","Kepler-488",1,1,0,0,"Transit",2016,"Kepler",3.12082814,,,,,1145.2800000
"Kepler-424 b","Kepler-424",1,2,0,0,"Transit",2014,"Kepler",3.31190263,10.963,,,,698.6460000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.51125630,6.070,,,,223.7570000
"Kepler-15 b","Kepler-15",1,1,0,0,"Transit",2011,"Kepler",4.94278333,,,,,739.4120000
"HATS-34 b","HATS-34",1,1,0,0,"Transit",2016,"HATSouth",2.10616070,16.029,299.07803,0.40000,7.700,508.8420000
"K2-121 b","K2-121",1,1,0,0,"Transit",2017,"K2",5.18575400,9.120,,,,169.3980000
"K2-19 b","K2-19",1,3,0,0,"Transit",2015,"K2",7.91952000,8.200,,,,289.8270000
"Kepler-670 b","Kepler-670",1,1,0,0,"Transit",2016,"Kepler",2.81650485,12.820,,,,939.7440000
"Kepler-17 b","Kepler-17",1,1,0,0,"Transit",2011,"Kepler",1.48571099,14.480,,,,720.7530000
"Kepler-424 b","Kepler-424",1,2,0,0,"Transit",2014,"Kepler",3.31186415,,,,,698.6460000
"Kepler-1624 b","Kepler-1624",1,1,0,0,"Transit",2016,"Kepler",3.29030452,2.270,,,,258.9790000
"Kepler-785 b","Kepler-785",1,1,0,0,"Transit",2016,"Kepler",1.97376085,,,,,642.0510000
"KELT-21 b","KELT-21",1,1,0,0,"Transit",2018,"KELT-North",3.61276470,17.777,1242.71530,1.24000,1.600,470.8780000
"Kepler-75 b","Kepler-75",1,1,0,0,"Transit",2013,"Kepler",8.88492268,11.020,,,,835.3560000
"Kepler-45 b","Kepler-45",1,1,0,0,"Transit",2011,"Kepler",2.45524062,11.030,,,,381.9490000
"Kepler-412 b","Kepler-412",1,1,0,0,"Transit",2014,"Kepler",1.72086123,14.852,298.43000,0.50100,5.100,1086.2400000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.51125630,5.380,,,4.370,223.7570000
"Kepler-17 b","Kepler-17",1,1,0,0,"Transit",2011,"Kepler",1.48571480,14.859,,,,720.7530000
"Kepler-45 b","Kepler-45",1,1,0,0,"Transit",2011,"Kepler",2.45523906,11.110,,,,381.9490000
"Kepler-7 b","Kepler-7",1,1,0,0,"Transit",2009,"Kepler",4.88548439,18.176,,,,922.5620000
"Kepler-1784 b","Kepler-1784",1,1,0,0,"Transit",2021,"Kepler",13.59051547,2.400,,,,883.0450000
"Kepler-196 d","Kepler-196",1,3,0,0,"Transit",2021,"Kepler",122.08049530,,,,,451.3120000
"Kepler-1902 b","Kepler-1902",1,1,0,0,"Transit",2021,"Kepler",3.82222231,1.020,,,,344.3370000
"Kepler-595 b","Kepler-595",1,2,0,0,"Transit",2016,"Kepler",25.30286800,3.800,,,2.700,643.0090000
"Kepler-1797 b","Kepler-1797",1,1,0,0,"Transit",2021,"Kepler",23.35948220,2.950,,,,1338.4900000
"Kepler-1844 b","Kepler-1844",1,1,0,0,"Transit",2021,"Kepler",3.92458000,1.330,,,,1804.3600000
"K2-271 b","K2-271",1,1,0,0,"Transit",2018,"K2",8.56244110,7.612,,,,564.4540000
"WTS-2 b","WTS-2",1,1,0,0,"Transit",2014,"United Kingdom Infrared Telescope",1.01870680,15.278,403.64410,0.62000,7.000,
"Kepler-412 b","Kepler-412",1,1,0,0,"Transit",2014,"Kepler",1.72085545,13.465,,,,1086.2400000
"HAT-P-49 b","HAT-P-49",1,1,0,0,"Transit",2014,"HATNet",2.69154800,15.838,549.82300,0.75000,1.500,350.3510000
"HAT-P-55 b","HAT-P-55",1,1,0,0,"Transit",2015,"HATNet",3.58523164,,,,,511.3880000
"KELT-12 b","KELT-12",1,1,0,0,"Transit",2017,"KELT-North",5.03163087,16.490,,,,368.0300000
"WASP-148 c","WASP-148",1,2,0,0,"Radial Velocity",2020,"Haute-Provence Observatory",34.52700000,,,,,246.3530000
"K2-316 c","K2-316",1,2,0,0,"Transit",2020,"K2",5.26000000,1.830,,,,112.4860000
"K2-320 b","K2-320",1,1,0,0,"Transit",2020,"K2",1.99500000,2.620,,,,108.7400000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555756,,,,,1093.0800000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555744,,,,,1093.0800000
"Kepler-785 b","Kepler-785",1,1,0,0,"Transit",2016,"Kepler",1.97376092,,,,,642.0510000
"KOI-217 b","KOI-217",1,1,0,0,"Transit",2010,"Kepler",3.90508198,13.140,,,,914.6990000
"Kepler-422 b","Kepler-422",1,1,0,0,"Transit",2014,"Kepler",7.89144884,12.630,,,,722.7950000
"Kepler-423 b","Kepler-423",1,1,0,0,"Transit",2014,"Kepler",2.68430810,13.975,,,,758.7530000
"Kepler-488 b","Kepler-488",1,1,0,0,"Transit",2016,"Kepler",,15.054,,,,1145.2800000
"Kepler-488 b","Kepler-488",1,1,0,0,"Transit",2016,"Kepler",3.12082923,15.790,,,3.470,1145.2800000
"K2-180 b","K2-180",1,1,0,0,"Transit",2018,"K2",8.86600000,,,,,203.8960000
"Kepler-607 b","Kepler-607",1,2,0,0,"Transit",2016,"Kepler",0.63815400,1.460,,,,519.1220000
"Kepler-783 c","Kepler-783",1,2,0,0,"Transit",2020,"Kepler",7.05393969,,,,,516.0900000
"Kepler-1762 b","Kepler-1762",1,1,0,0,"Transit",2021,"Kepler",29.53910065,2.760,,,,1663.7400000
"Kepler-1001 b","Kepler-1001",1,2,0,0,"Transit",2016,"Kepler",14.30511983,3.110,,,,928.9780000
"Kepler-1867 b","Kepler-1867",1,1,0,0,"Transit",2021,"Kepler",9.88736642,0.680,,,,680.5830000
"Kepler-129 b","Kepler-129",1,3,0,0,"Transit",2014,"Kepler",15.79161900,2.409,,,,408.8450000
"K2-174 b","K2-174",1,1,0,0,"Transit",2018,"K2",19.56243630,3.327,,,,99.9293000
"Kepler-1886 b","Kepler-1886",1,1,0,0,"Transit",2021,"Kepler",24.27580070,2.582,,,,1059.5100000
"Kepler-385 d","Kepler-385",1,3,0,0,"Transit",2020,"Kepler",56.41474200,2.460,,,,1432.6100000
"Kepler-15 b","Kepler-15",1,1,0,0,"Transit",2011,"Kepler",,13.347,,,,739.4120000
"Kepler-63 b","Kepler-63",1,1,0,0,"Transit",2013,"Kepler",,5.766,,,,194.0330000
"Kepler-485 b","Kepler-485",1,1,0,0,"Transit",2016,"Kepler",3.24325980,13.630,,,,1140.9500000
"Kepler-411 c","Kepler-411",2,4,0,0,"Transit",2016,"Kepler",7.83443068,,,,,153.6760000
"Kepler-45 b","Kepler-45",1,1,0,0,"Transit",2011,"Kepler",2.45524062,11.250,,,4.370,381.9490000
"Kepler-45 b","Kepler-45",1,1,0,0,"Transit",2011,"Kepler",2.45524059,,,,,381.9490000
"Kepler-45 b","Kepler-45",1,1,0,0,"Transit",2011,"Kepler",2.45524063,,,,,381.9490000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.51067812,,,,,223.7570000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.51220140,4.700,,,,223.7570000
"Kepler-411 b","Kepler-411",2,4,0,0,"Transit",2013,"Kepler",3.00515570,1.940,,,,153.6760000
"Kepler-75 b","Kepler-75",1,1,0,0,"Transit",2013,"Kepler",8.88491760,9.400,,,12.900,835.3560000
"Kepler-685 b","Kepler-685",1,1,0,0,"Transit",2016,"Kepler",1.62552220,9.740,,,,938.7150000
"Kepler-686 b","Kepler-686",1,1,0,0,"Transit",2016,"Kepler",1.59474546,,,,,1490.9400000
"Kepler-1656 b","Kepler-1656",1,2,0,0,"Transit",2018,"Kepler",31.57865934,4.470,,,,185.8750000
"Kepler-1972 b","Kepler-1972",1,2,0,0,"Transit",2014,"Kepler",7.54591190,0.980,,,,287.3390000
"Kepler-428 b","Kepler-428",1,1,0,0,"Transit",2014,"Kepler",3.52563254,12.110,403.63000,1.02000,5.000,686.2840000
"Kepler-1517 b","Kepler-1517",1,1,0,0,"Transit",2016,"Kepler",5.54608109,10.083,,,,847.2990000
"Kepler-1658 b","Kepler-1658",1,1,0,0,"Transit",2019,"Kepler",3.84937174,,,,,788.2380000
"Kepler-718 b","Kepler-718",1,1,0,0,"Transit",2016,"Kepler",2.05234990,13.380,,,,1302.3300000
"Kepler-718 b","Kepler-718",1,1,0,0,"Transit",2016,"Kepler",2.05234988,13.120,,,,1302.3300000
"Kepler-718 b","Kepler-718",1,1,0,0,"Transit",2016,"Kepler",2.05234988,,,,,1302.3300000
"Kepler-1972 c","Kepler-1972",1,2,0,0,"Transit",2014,"Kepler",11.32201040,0.910,,,,287.3390000
"Kepler-425 b","Kepler-425",1,1,0,0,"Transit",2014,"Kepler",3.79701816,10.962,71.82958,0.29900,5.000,646.6470000
"Kepler-7 b","Kepler-7",1,1,0,0,"Transit",2009,"Kepler",4.88548920,18.181,140.16303,0.14000,,922.5620000
"Kepler-74 b","Kepler-74",1,1,0,0,"Transit",2013,"Kepler",7.34056751,16.732,,,,1177.5500000
"Kepler-74 b","Kepler-74",1,1,0,0,"Transit",2013,"Kepler",7.34071100,10.760,200.22000,0.88000,0.800,1177.5500000
"Kepler-762 b","Kepler-762",1,1,0,0,"Transit",2016,"Kepler",3.77055147,12.050,,,,1898.2600000
"Kepler-17 b","Kepler-17",1,1,0,0,"Transit",2011,"Kepler",1.48571091,14.908,785.04010,1.30000,1.800,720.7530000
"Kepler-17 b","Kepler-17",1,1,0,0,"Transit",2011,"Kepler",1.48571080,14.680,778.65000,1.35000,,720.7530000
"K2-34 b","K2-34",1,1,0,0,"Transit",2016,"K2",2.99529334,,,,,348.6460000
"Kepler-1085 c","Kepler-1085",1,2,0,0,"Transit",2020,"Kepler",56.77710000,3.268,,,,1364.5300000
"Kepler-1709 b","Kepler-1709",1,1,0,0,"Transit",2021,"Kepler",65.70460002,2.570,,,,273.9460000
"Kepler-1942 b","Kepler-1942",1,1,0,0,"Transit",2021,"Kepler",4.62602725,1.600,,,,842.4920000
"Kepler-418 b","Kepler-418",1,2,0,0,"Transit",2014,"Kepler",86.67862165,,,,,1002.5300000
"Kepler-1266 c","Kepler-1266",1,2,0,0,"Transit",2021,"Kepler",4.86643000,1.350,,,,849.3120000
"Kepler-1073 b","Kepler-1073",1,3,0,0,"Transit",2016,"Kepler",8.67888742,,,,,809.8970000
"Kepler-1851 b","Kepler-1851",1,1,0,0,"Transit",2021,"Kepler",12.02295385,,,,,1589.8100000
"Kepler-1865 b","Kepler-1865",1,1,0,0,"Transit",2021,"Kepler",2.52401812,1.560,,,,922.2550000
"Kepler-1758 b","Kepler-1758",1,1,0,0,"Transit",2021,"Kepler",9.97741000,1.720,,,0.400,1588.4100000
"Kepler-1938 b","Kepler-1938",1,1,0,0,"Transit",2021,"Kepler",13.06240734,,,,,421.1520000
"Kepler-799 b","Kepler-799",1,2,0,0,"Transit",2016,"Kepler",133.46084685,,,,,
"Kepler-424 b","Kepler-424",1,2,0,0,"Transit",2014,"Kepler",3.31186450,9.420,,,,698.6460000
"Kepler-424 b","Kepler-424",1,2,0,0,"Transit",2014,"Kepler",,10.183,,,,698.6460000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.49568297,5.157,,,,223.7570000
"Kepler-670 b","Kepler-670",1,1,0,0,"Transit",2016,"Kepler",2.81650490,,,,,939.7440000
"Kepler-411 c","Kepler-411",2,4,0,0,"Transit",2016,"Kepler",7.83442788,3.270,,,2.690,153.6760000
"Kepler-411 c","Kepler-411",2,4,0,0,"Transit",2016,"Kepler",7.83446883,3.797,,,,153.6760000
"Kepler-411 c","Kepler-411",2,4,0,0,"Transit",2016,"Kepler",7.83442788,3.370,,,,153.6760000
"Kepler-63 b","Kepler-63",1,1,0,0,"Transit",2013,"Kepler",9.43415891,6.373,,,,194.0330000
"Kepler-63 b","Kepler-63",1,1,0,0,"Transit",2013,"Kepler",9.43415050,6.110,120.00000,3.00000,0.210,194.0330000
"Kepler-485 b","Kepler-485",1,1,0,0,"Transit",2016,"Kepler",3.24325980,13.630,,,,1140.9500000
"Kepler-485 b","Kepler-485",1,1,0,0,"Transit",2016,"Kepler",3.24325980,13.630,,,,1140.9500000
"HAT-P-31 b","HAT-P-31",1,1,0,0,"Transit",2011,"HATNet",5.00526050,13.631,,,,344.0500000
"HAT-P-37 b","HAT-P-37",1,1,0,0,"Transit",2011,"HATNet",2.79743600,13.204,371.52800,0.89000,,390.5940000
"HAT-P-52 b","HAT-P-52",1,1,0,0,"Transit",2015,"HATNet",2.75359730,,,,9.400,361.1550000
"WASP-153 b","WASP-153",1,1,0,0,"Transit",2017,"SuperWASP",3.33260900,,,,4.000,610.1760000
"WASP-153 b","WASP-153",1,1,0,0,"Transit",2017,"SuperWASP",3.33260900,17.374,123.95370,0.15000,4.000,610.1760000
"KELT-23 A b","KELT-23 A",2,1,0,0,"Transit",2019,"KELT-North",2.25525100,14.830,298.12454,0.50300,6.400,126.2610000
"Kepler-423 b","Kepler-423",1,1,0,0,"Transit",2014,"Kepler",2.68432897,12.400,,,0.300,758.7530000
"Kepler-485 b","Kepler-485",1,1,0,0,"Transit",2016,"Kepler",3.24324877,14.580,,,,1140.9500000
"Kepler-411 b","Kepler-411",2,4,0,0,"Transit",2013,"Kepler",3.00515570,1.940,,,,153.6760000
"Kepler-685 b","Kepler-685",1,1,0,0,"Transit",2016,"Kepler",1.62552220,10.580,,,3.390,938.7150000
"Kepler-63 b","Kepler-63",1,1,0,0,"Transit",2013,"Kepler",9.43414171,5.730,,,,194.0330000
"Kepler-425 b","Kepler-425",1,1,0,0,"Transit",2014,"Kepler",3.79701826,,,,,646.6470000
"Kepler-7 b","Kepler-7",1,1,0,0,"Transit",2009,"Kepler",4.88548862,,,,,922.5620000
"KELT-23 A b","KELT-23 A",2,1,0,0,"Transit",2019,"KELT-North",2.25528520,14.761,,,,126.2610000
"Kepler-396 c","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",88.50500000,5.300,17.90000,,,223.7570000
"Kepler-75 b","Kepler-75",1,1,0,0,"Transit",2013,"Kepler",8.88492268,11.020,,,,835.3560000
"Kepler-762 b","Kepler-762",1,1,0,0,"Transit",2016,"Kepler",,15.098,,,,1898.2600000
"HAT-P-5 b","HAT-P-5",1,1,0,0,"Transit",2007,"HATNet",2.78847227,13.943,,,,303.3360000
"Kepler-428 b","Kepler-428",1,1,0,0,"Transit",2014,"Kepler",3.52563256,11.870,,,,686.2840000
"GJ 3512 c","GJ 3512",1,2,0,0,"Radial Velocity",2020,"Multiple Observatories",1599.60000000,,,,5.500,9.4863700
"Kepler-1710 b","Kepler-1710",1,1,0,0,"Transit",2021,"Kepler",14.91095177,2.620,,,,305.1930000
"HD 27969 b","HD 27969",1,1,0,0,"Radial Velocity",2021,"Haute-Provence Observatory",654.50000000,,,,,67.9328000
"K2-407 c","K2-407",1,2,0,0,"Transit",2022,"K2",9.22453000,1.360,,,,218.3760000
"Kepler-1886 b","Kepler-1886",1,1,0,0,"Transit",2021,"Kepler",24.27623730,2.260,,,,1059.5100000
"Kepler-1798 b","Kepler-1798",1,1,0,0,"Transit",2021,"Kepler",16.85593514,2.080,,,,395.1960000
"K2-27 b","K2-27",3,1,0,0,"Transit",2016,"K2",6.77138900,4.580,,,,249.6450000
"K2-117 b","K2-117",1,2,0,0,"Transit",2017,"K2",1.29160500,1.740,,,,101.6320000
"HAT-P-31 b","HAT-P-31",1,1,0,0,"Transit",2011,"HATNet",5.00541900,,,,,344.0500000
"TOI-2048 b","TOI-2048",1,1,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",13.79053150,2.602,,,,116.5670000
"HD 108236 e","HD 108236",1,5,0,0,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",19.59170000,3.120,,,,64.5978000
"Kepler-423 b","Kepler-423",1,1,0,0,"Transit",2014,"Kepler",2.68432850,13.361,189.10100,0.45900,11.000,758.7530000
"Kepler-435 b","Kepler-435",1,1,0,0,"Transit",2015,"Kepler",8.60015393,26.520,,,,1418.7700000
"TOI-1266 c","TOI-1266",1,2,0,0,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",18.80161111,1.911,,,,36.0118000
"Kepler-1692 b","Kepler-1692",1,1,0,0,"Transit",2020,"Kepler",5.95958500,0.970,,,6.100,591.0190000
"Kepler-1938 b","Kepler-1938",1,1,0,0,"Transit",2021,"Kepler",13.06242496,1.430,,,,421.1520000
"Kepler-1714 b","Kepler-1714",1,1,0,0,"Transit",2021,"Kepler",10.27532513,3.040,,,,409.4600000
"Kepler-1697 b","Kepler-1697",1,1,0,0,"Transit",2020,"Kepler",33.49690000,1.260,,,,247.7710000
"Kepler-1788 b","Kepler-1788",1,1,0,0,"Transit",2021,"Kepler",2.80013100,1.990,,,13.800,560.4450000
"Kepler-1067 b","Kepler-1067",1,2,0,0,"Transit",2016,"Kepler",0.76213231,0.750,,,,667.6930000
"Kepler-1727 b","Kepler-1727",1,1,0,0,"Transit",2021,"Kepler",9.02929362,,,,,894.1870000
"Kepler-1760 b","Kepler-1760",1,1,0,0,"Transit",2021,"Kepler",38.32622370,2.430,,,,
"NGTS-20 b","NGTS-20",1,1,0,0,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",54.32124230,11.635,,,,382.8980000
"Kepler-1677 b","Kepler-1677",1,1,0,0,"Transit",2020,"Kepler",22.06399693,,,,,735.3690000
"K2-29 b","K2-29",2,1,0,0,"Transit",2016,"K2",3.25881300,11.380,,,,178.4750000
"Qatar-2 b","Qatar-2",1,1,0,0,"Transit",2011,"Qatar",1.33711677,12.498,783.76878,2.35600,,181.3740000
"TOI-1444 b","TOI-1444",1,2,0,0,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",0.47028007,1.589,,,,125.4630000
"CoRoT-4 b","CoRoT-4",1,1,0,0,"Transit",2008,"CoRoT",9.20205000,13.002,232.33373,0.58300,0.800,726.4120000
"HAT-P-5 b","HAT-P-5",1,1,0,0,"Transit",2007,"HATNet",2.78847320,13.574,,,,303.3360000
"K2-182 b","K2-182",1,1,0,0,"Transit",2018,"K2",4.73689300,2.860,,,,154.8300000
"Kepler-471 b","Kepler-471",1,1,0,0,"Transit",2016,"Kepler",5.01423250,9.000,,,0.720,1249.4100000
"Kepler-412 b","Kepler-412",1,1,0,0,"Transit",2014,"Kepler",1.72086132,12.530,,,,1086.2400000
"KELT-8 b","KELT-8",1,1,0,0,"Transit",2015,"KELT",3.24407960,,,,,197.5720000
"KELT-16 b","KELT-16",2,1,0,0,"Transit",2017,"KELT",0.96899272,17.133,,,,444.5860000
"WASP-153 b","WASP-153",1,1,0,0,"Transit",2017,"SuperWASP",3.33260990,,,,4.000,610.1760000
"WASP-177 b","WASP-177",1,1,0,0,"Transit",2019,"SuperWASP",3.07172156,,,,,176.8180000
"K2-318 b","K2-318",1,1,0,0,"Transit",2020,"K2",7.01000000,1.660,,,,147.8660000
"Kepler-77 b","Kepler-77",1,1,0,0,"Transit",2013,"Kepler",3.57878055,10.430,,,,639.4110000
"Kepler-41 b","Kepler-41",1,1,0,0,"Transit",2011,"Kepler",1.85555820,14.460,179.89178,0.32700,4.400,1093.0800000
"LHS 1140 c","LHS 1140",1,2,0,0,"Transit",2018,"Multiple Observatories",3.77793100,1.282,1.81000,4.70000,5.000,14.9861000
"Kepler-43 b","Kepler-43",1,1,0,0,"Transit",2011,"Kepler",3.02409255,12.100,,,,1005.8400000
"Kepler-488 b","Kepler-488",1,1,0,0,"Transit",2016,"Kepler",3.12082923,14.510,,,,1145.2800000
"Kepler-15 b","Kepler-15",1,1,0,0,"Transit",2011,"Kepler",4.94278340,10.980,,,2.630,739.4120000
"Kepler-426 b","Kepler-426",1,1,0,0,"Transit",2014,"Kepler",3.21751883,12.220,108.06000,0.26000,6.000,843.6950000
"Kepler-396 b","Kepler-396",1,2,0,0,"Transit",2013,"Kepler",42.99255302,3.490,,,,223.7570000
"K2-117 b","K2-117",1,2,0,0,"Transit",2017,"K2",1.29162600,,,,,101.6320000
"CoRoT-20 b","CoRoT-20",1,2,0,0,"Transit",2011,"CoRoT",9.24323029,15.397,,,,844.0610000
"Kepler-762 b","Kepler-762",1,1,0,0,"Transit",2016,"Kepler",3.77055147,,,,,1898.2600000
"HAT-P-49 b","HAT-P-49",1,1,0,0,"Transit",2014,"HATNet",2.69155000,17.822,699.22600,,,350.3510000
"Kepler-1322 b","Kepler-1322",1,2,0,0,"Transit",2016,"Kepler",,1.827,,,,1350.3200000
"WASP-91 b","WASP-91",1,1,0,0,"Transit",2017,"SuperWASP-South",2.79857900,,,,,149.9420000
"K2-397 b","K2-397",1,1,0,0,"Transit",2022,"K2",3.57232600,2.417,,,,199.3540000
"Kepler-1819 b","Kepler-1819",1,1,0,0,"Transit",2021,"Kepler",16.48690033,3.904,,,,1363.1900000
"Kepler-1687 b","Kepler-1687",1,1,0,0,"Transit",2020,"Kepler",5.77955922,1.340,,,,417.0140000
"Kepler-1773 b","Kepler-1773",1,1,0,0,"Transit",2021,"Kepler",40.80957622,2.560,,,,681.2550000
"KOI-1831 d","Kepler-324",1,4,0,0,"Transit",2021,"Kepler",34.20693950,1.130,,,,501.5740000
"Kepler-1666 b","Kepler-1666",1,2,0,0,"Transit",2020,"Kepler",25.84781795,,,,,1379.3700000
"Kepler-1739 b","Kepler-1739",1,1,0,0,"Transit",2021,"Kepler",7.34372823,1.900,,,,783.6660000
"Kepler-281 c","Kepler-281",1,3,0,0,"Transit",2014,"Kepler",36.33737300,5.310,,,,1745.4500000
"HD 136352 c","HD 136352",1,3,0,0,"Radial Velocity",2019,"La Silla Observatory",27.59223458,2.579,,,,14.6820000
"WASP-37 b","WASP-37",1,1,0,0,"Transit",2010,"SuperWASP",3.57748070,,,,,392.7910000
"K2-275 b","K2-275",1,2,0,0,"Transit",2018,"K2",3.28092600,2.300,,,,123.4380000
"HD 219134 c","HD 219134",1,6,0,0,"Radial Velocity",2015,"Roque de los Muchachos Observatory",6.76458000,1.511,4.36000,6.95000,11.000,6.5312700
"HD 89345 b","HD 89345",1,1,0,0,"Transit",2018,"K2",11.81399000,6.860,35.70000,0.60900,9.400,132.3450000
"Kepler-1835 b","Kepler-1835",1,1,0,0,"Transit",2021,"Kepler",11.96407399,3.210,,,,1404.3800000
"Kepler-1833 b","Kepler-1833",1,1,0,0,"Transit",2021,"Kepler",6.89208596,1.320,,,,591.6020000
"Kepler-1911 b","Kepler-1911",1,1,0,0,"Transit",2021,"Kepler",5.99077497,1.450,,,,269.9120000
"Kepler-1766 b","Kepler-1766",1,1,0,0,"Transit",2021,"Kepler",105.01499940,2.279,,,,501.2290000
"Kepler-1130 b","Kepler-1130",2,3,0,0,"Transit",2016,"Kepler",5.45298175,0.860,,,,249.3430000
"Kepler-1530 b","Kepler-1530",1,3,0,0,"Transit",2016,"Kepler",2.59039580,2.550,,,,489.8760000
"Kepler-783 b","Kepler-783",1,2,0,0,"Transit",2016,"Kepler",4.29264638,0.930,,,,516.0900000
"Kepler-1812 b","Kepler-1812",1,1,0,0,"Transit",2021,"Kepler",7.16520428,,,,,1409.1900000
